DATE,Aged 16-17,Aged 18-24,Aged 25-34,Aged 35-49,Aged 50-64,Age 65+
2012-Oct-Dec,332,3392,6721,10774,7706,983
2013-Nov-Jan,330,3361,6754,10752,7711,983
2013-Dec-Feb,318,3346,6734,10720,7713,984
2013-Jan-Mar,323,3358,6735,10712,7711,999
2013-Feb-Apr,331,3358,6752,10712,7713,1017
2013-Mar-May,327,3324,6775,10694,7734,1006
2013-Apr-Jun,329,3287,6805,10707,7781,1030
2013-May-Jul,327,3299,6827,10701,7818,1022
2013-Jun-Aug,335,3291,6822,10709,7833,1035
2013-Jul-Sep,332,3342,6840,10683,7858,1051
2013-Aug-Oct,340,3349,6865,10694,7905,1071
2013-Sep-Nov,342,3372,6869,10709,7932,1078
2013-Oct-Dec,325,3382,6875,10680,7954,1075
2014-Nov-Jan,326,3389,6874,10718,7960,1062
2014-Dec-Feb,316,3418,6920,10747,7983,1109
2014-Jan-Mar,322,3404,6948,10755,7997,1106
2014-Feb-Apr,327,3455,6979,10766,7999,1113
2014-Mar-May,326,3473,6993,10790,8040,1122
2014-Apr-Jun,321,3482,6973,10801,8021,1106
2014-May-Jul,317,3466,6959,10796,8050,1115
2014-Jun-Aug,322,3513,6965,10792,8085,1109
2014-Jul-Sep,327,3490,6985,10812,8103,1116
2014-Aug-Oct,327,3471,7008,10802,8107,1133
2014-Sep-Nov,331,3433,7016,10805,8137,1129
2014-Oct-Dec,346,3479,6998,10836,8161,1124
2015-Nov-Jan,347,3496,7013,10822,8194,1133
2015-Dec-Feb,346,3516,7032,10837,8206,1184
2015-Jan-Mar,349,3518,7038,10826,8220,1204
2015-Feb-Apr,349,3513,7040,10821,8240,1166
2015-Mar-May,361,3507,7037,10798,8221,1133
2015-Apr-Jun,357,3526,7038,10778,8268,1143
2015-May-Jul,371,3533,7055,10772,8288,1168
2015-Jun-Aug,367,3565,7086,10757,8287,1157
2015-Jul-Sep,380,3591,7114,10735,8345,1168
2015-Aug-Oct,384,3594,7132,10761,8390,1175
2015-Sep-Nov,373,3588,7156,10773,8410,1212
2015-Oct-Dec,364,3598,7169,10773,8435,1200
2016-Nov-Jan,361,3602,7180,10764,8436,1198
2016-Dec-Feb,368,3588,7179,10787,8456,1179
2016-Jan-Mar,369,3582,7188,10792,8455,1186
2016-Feb-Apr,355,3570,7223,10766,8507,1181
2016-Mar-May,352,3586,7232,10786,8546,1210
2016-Apr-Jun,353,3580,7251,10785,8571,1207
2016-May-Jul,348,3570,7271,10806,8592,1191
2016-Jun-Aug,348,3569,7250,10817,8603,1224
2016-Jul-Sep,340,3567,7247,10790,8632,1233
2016-Aug-Oct,335,3570,7262,10767,8644,1217
2016-Sep-Nov,358,3568,7264,10751,8649,1218
2016-Oct-Dec,372,3556,7264,10780,8673,1200
2017-Nov-Jan,377,3540,7259,10778,8685,1208
2017-Dec-Feb,372,3539,7280,10786,8705,1179
2017-Jan-Mar,366,3554,7307,10780,8740,1199
2017-Feb-Apr,367,3549,7322,10788,8726,1203
2017-Mar-May,348,3551,7356,10807,8756,1193
2017-Apr-Jun,340,3552,7390,10834,8789,1161
2017-May-Jul,338,3546,7436,10859,8796,1157
2017-Jun-Aug,344,3504,7416,10859,8807,1173
2017-Jul-Sep,343,3471,7422,10818,8830,1180
2017-Aug-Oct,345,3474,7389,10860,8848,1177
2017-Sep-Nov,340,3501,7421,10873,8895,1182
2017-Oct-Dec,332,3481,7423,10854,8879,1184
2018-Nov-Jan,337,3480,7452,10864,8894,1213
2018-Dec-Feb,344,3474,7436,10889,8921,1200
2018-Jan-Mar,341,3507,7437,10911,8950,1197
2018-Feb-Apr,348,3504,7447,10894,8973,1224
2018-Mar-May,356,3475,7459,10901,8997,1207
2018-Apr-Jun,357,3478,7433,10888,9002,1228
2018-May-Jul,348,3487,7429,10875,9014,1255
2018-Jun-Aug,337,3490,7435,10861,9049,1237
2018-Jul-Sep,329,3473,7453,10855,9067,1254
2018-Aug-Oct,321,3513,7469,10878,9065,1245
2018-Sep-Nov,313,3541,7478,10871,9069,1270
2018-Oct-Dec,315,3515,7509,10882,9087,1290
2019-Nov-Jan,318,3540,7535,10893,9139,1289
2019-Dec-Feb,332,3528,7543,10876,9159,1282
2019-Jan-Mar,342,3497,7547,10859,9168,1282
2019-Feb-Apr,339,3470,7564,10871,9198,1303
2019-Mar-May,341,3432,7570,10882,9196,1328
2019-Apr-Jun,347,3463,7563,10853,9222,1363
2019-May-Jul,351,3430,7557,10867,9258,1314
2019-Jun-Aug,338,3366,7550,10866,9246,1327
2019-Jul-Sep,345,3364,7589,10894,9251,1311
2019-Aug-Oct,348,3411,7591,10892,9250,1309
2019-Sep-Nov,344,3420,7611,10906,9295,1324
2019-Oct-Dec,336,3454,7614,10921,9312,1297
2020-Nov-Jan,339,3482,7615,10896,9307,1348
